id,title_fr,title_en,title_es,description_fr,description_en,description_es,category,profession,image,featured,url,note
1,Isla Wedding,Isla Wedding,Isla Wedding,Service de photographie et organisation de mariages,Wedding photography and planning service,Servicio de fotografía y planificación de bodas,service,photographe,/images/portfolio/isla-wedding.jpg,FALSE,https://isla-wedding.mindzy.me/,Site Mindzy - À compléter
2,B2B Consulting,B2B Consulting,B2B Consulting,"Cabinet de conseil en gestion d'entreprise en Guyane française. Accompagnement comptabilité, création d'entreprise, pilotage stratégique, transmission.","Business consulting firm in French Guiana. Accounting support, business creation, strategic management, transmission.","Firma de consultoría empresarial en la Guayana Francesa. Apoyo contable, creación de empresas, gestión estratégica, transmisión.",service,consultant,/images/portfolio/b2b-consulting.jpg,FALSE,https://b2bconsulting.pro/,Karine RANGON - Guyane française
3,Le Revenu,Le Revenu,Le Revenu,"Magazine financier français spécialisé dans le conseil en placements financiers, assurance vie, Bourse, fiscalité, immobilier.","French financial magazine specialized in financial investment advice, life insurance, stock market, taxation, real estate.","Revista financiera francesa especializada en asesoramiento de inversión financiera, seguro de vida, bolsa, fiscalidad, inmobiliario.",media,media,/images/portfolio/le-revenu.jpg,TRUE,https://www.lerevenu.com/,Magazine depuis 1968 - Repris par Overlord en 2025
4,Overlord Fund,Overlord Fund,Overlord Fund,"Plateforme de gestion de véhicules d'investissement. Création et gestion de Holdings, Club deals et Fonds. Gestion juridique fiscale et comptable.","Investment vehicle management platform. Creation and management of Holdings, Club deals and Funds. Legal, tax and accounting management.","Plataforma de gestión de vehículos de inversión. Creación y gestión de Holdings, Club deals y Fondos. Gestión jurídica, fiscal y contable.",service,fond-investissement,/images/portfolio/overlord-fund.jpg,TRUE,https://www.overlord.fund/fr,+250 clients - 400M€ levés
5,Studio Risk,Studio Risk,Studio Risk,"Studio de tatouage et piercing à Paris 20e. Ouvert du mardi au samedi 10h-20h. Artistes spécialisés en micro-réalisme, manga, typographie.","Tattoo and piercing studio in Paris 20th. Open Tuesday to Saturday 10am-8pm. Artists specialized in micro-realism, manga, typography.","Estudio de tatuajes y piercings en París 20. Abierto de martes a sábado 10h-20h. Artistas especializados en micro-realismo, manga, tipografía.",service,tatoueur,/images/portfolio/studio-risk.jpg,TRUE,https://studiorisk.fr/,13 avenue Gambetta - 75020 Paris
6,Equityz,Equityz,Equityz,Club d'investissement pour entrepreneurs antillo-guyanais,Investment club for Antillean-Guyanese entrepreneurs,Club de inversión para empresarios antillano-guyaneses,service,fond-investissement,/images/portfolio/equityz.jpg,FALSE,https://equityz.fr/,Lié à B2B Consulting
7,Ory Avocats,Ory Avocats,Ory Avocats,"Cabinet d'avocats spécialisé en droit pénal, droit pénal des affaires et libertés fondamentales. Fondé par Antoine Ory, ancien Secrétaire de la Conférence.","Law firm specialized in criminal law, business criminal law and fundamental freedoms. Founded by Antoine Ory, former Secretary of the Conference.","Bufete de abogados especializado en derecho penal, derecho penal de empresas y libertades fundamentales. Fundado por Antoine Ory.",service,avocat,/images/portfolio/ory-avocats.jpg,TRUE,https://www.ory-avocats.com/,"156 Rue de Rivoli, 75001 Paris - Avocat depuis 2018"
8,Ligny Avocat,Ligny Avocat,Ligny Avocat,"Cabinet d'avocate spécialisé en droit pénal et contentieux. Maître Victoria Ligny intervient en défense pénale, droit pénal du travail.","Law office specialized in criminal law and litigation. Victoria Ligny intervenes in criminal defense, labor criminal law.","Despacho de abogados especializado en derecho penal y litigios. Victoria Ligny interviene en defensa penal, derecho penal laboral.",service,avocat,/images/portfolio/ligny-avocat.jpg,FALSE,https://www.ligny-avocat.com/,Avocate au Barreau de Paris - Docteure en droit pénal
9,Pharaonique Official,Pharaonique Official,Pharaonique Official,"Marque de vêtements streetwear. Collections de Sweatshirts, T-shirts, Ensembles, Casquettes. Plus de 50 000 clients, livraison rapide mondiale.","Streetwear clothing brand. Collections of Sweatshirts, T-shirts, Sets, Caps. Over 50,000 customers, fast worldwide delivery.","Marca de ropa streetwear. Colecciones de Sudaderas, Camisetas, Conjuntos, Gorras. Más de 50,000 clientes, entrega rápida mundial.",ecom,boutique,/images/portfolio/pharaonique-official.jpg,TRUE,https://pharaoniqueofficial.com/,"Guadeloupe, Martinique, Guyane, Réunion - Marque caribéenne"
10,Ligaphone Paris,Ligaphone Paris,Ligaphone Paris,Boutique e-commerce spécialisée audio et musique à Paris.,Specialized audio and music e-commerce store in Paris.,Tienda de comercio electrónico especializada en audio y música en París.,ecom,boutique,/images/portfolio/ligaphone-paris.jpg,FALSE,https://ligaphone-paris.myshopify.com/fr,Shopify e-commerce
11,French Is Now,French Is Now,French Is Now,Portfolio développeur web et créateur de sites Mindzy.,Web developer portfolio and Mindzy site creator.,Portafolio de desarrollador web y creador de sitios Mindzy.,service,freelance,/images/portfolio/french-is-now.jpg,FALSE,https://www.frenchisnow.com/,Portfolio développeur - Créateur de sites Mindzy
12,Suzerain,Suzerain,Suzerain,Fonds d'investissement et gestion de patrimoine.,Investment fund and wealth management.,Fondo de inversión y gestión de patrimonio.,service,fond-investissement,/images/portfolio/suzerain.jpg,FALSE,https://suzerain.vercel.app/,À rechercher
13,Joplin Designer,Joplin Designer,Joplin Designer,Designer graphique et directeur artistique.,Graphic designer and art director.,Diseñador gráfico y director artístico.,service,designer,/images/portfolio/joplin-designer.jpg,FALSE,https://joplin-designer.mindzy.me/,Site Mindzy - À compléter
14,Byur Surfing,Byur Surfing,Byur Surfing,École de surf et cours de glisse en bord de mer.,Surf school and surfing lessons by the sea.,Escuela de surf y clases de deslizamiento junto al mar.,service,coach-sportif,/images/portfolio/byur-surfing.jpg,FALSE,https://byur-surfing.mindzy.me/,Site Mindzy - À compléter
